year,name
1778,ROBERT HOOPER
1778,BARBARA HAMMELL
1778,CHRISTOPHER HAYNE
1778,WILLIAM SIMPLE
1778,DAVID DOWIS
1778,WILLIAM SEMPLE
1778,BARBARA KENNELL
1778,MATHEW GREER & MATHEW GREER FOR THE HEIRS OF THOMAS JONES DECEASED
1778,BARBARA REMMULE
1778,JOHN KERR
1778,PHINIAS MASSEY
1778,DANIEL FRANK
1778,DAVID FURMAN
1778,DAVID S HOOPER
1778,MATTHEW GREEN
1778,JOHN REEV
1778,MICHAEL GRATY
1778,MIAH GRATY
1778,MICHAEL GATZ
1778,MARY RHEA
1778,ANNA MARGARIDA MASBORG
1778,JACOB SHENNER
1778,ELIZABETH COOMBE
1778,NICHOLAS POMP
1778,MARY RHIA
1778,MARY RHEU
1778,ANNA MARIE LEROY
1778,JOHN MORRIS
1778,DAVID FARMAN
1778,JAMES FINLAY
1778,GEORGE WEEDON
1778,GOGE TATZ
1778,GEORGE PATY
1778,GEORGE PALG
1778,DAVID JENKINS
1778,ANNA MARGARITTA MARBURGH
1778,JAMES BUDDEN
1778,MARY RHONE
1778,JOHN CLARKE
1778,CHRIS GOBRIGHT
1778,MARY LUCH
1778,DANIEL WAGGONER
1778,DAVID DUNWODDY
1778,JOHN MAYLE
1778,JAMES IRWIN
1778,ROBERT JENNISON
1778,JOHN JAMISON
1778,JOHN CLARK
1778,ROBERT POTTER
1778,JOSHUA DAVIS
1778,HUGH HOMER
1778,ELIZABETH LATIMA
1778,ANN WALKER
1778,ELIZABETH LATIMER
1778,MARY KING
1778,MICHAEL BARTGIS
1778,JOHN BAYNARD
1778,THOMAS TORBERT
1778,JAMES MOORE
1778,DAVID RAMSEY
1778,ELIZABETH BOYEL
1778,JAMES MASE
1778,ESTHER BURLINGHER
1778,ESTHER BURLINGER
1778,ANNA MARGARRITTA MARBOURGH
1778,JOHN MCCONNELL
1778,JAMES MEARS
1778,PAUL ZANTZINGER
1778,JOHN ARMSTRONG
1778,JASEPH HART
1778,WILLIAM PARR
1778,JOSEPH BLEWER
